	id_directeur	liste_films	directeur
224	nm0005421	[4911, 11375]	Ron Shelton
225	nm0005436	[479, 584, 8292, 59965]	John Singleton
226	nm0005509	[2059, 6637, 345940, 27022]	Jon Turteltaub
227	nm0005522	[340945]	Mario Van Peebles
228	nm0005599	[669402]	Jérémie Elkaïm
229	nm0005628	[2266]	Oliver Schmitz
230	nm0005647	[2085, 8814, 10623, 10877]	Andrzej Bartkowiak
231	nm0005703	[526225]	Don E. FauntLeRoy
232	nm0005846	[66896]	Gernot Roll
233	nm0006395	[928999, 887767, 859860]	Michael Feifer
234	nm0006407	[323021]	Fred Nicolas
235	nm0006445	[2894, 45458, 65041]	Éric Rohmer
236	nm0006476	[10394]	Paul McGuigan
237	nm0006518	[63188]	Darin Ferriola
238	nm0006554	[73873]	Rodrigo García
239	nm0006620	[595815, 594646, 593975, 49886, 202983]	Jean-Pierre Mocky
240	nm0006685	[21833]	Gerry Lively
241	nm0006729	[49721]	Pip Karmel
242	nm0006734	[31076, 53404, 59918, 126433]	Alain Corneau
243	nm0006765	[46406, 192675]	Vidhu Vinod Chopra
244	nm0006845	[29572]	Sally Potter
245	nm0006846	[13012, 524047, 423204, 134411]	Ric Roman Waugh
246	nm0006853	[9636]	Tim Hunter
247	nm0006854	[8452, 39127]	Roger Spottiswoode
248	nm0006856	[73455]	José Luis López-Linares
249	nm0006860	[138376]	Damian Lee
250	nm0006904	[49040]	Tony Gilroy
251	nm0006931	[109563]	J.R. Bookwalter
252	nm0006939	[13730, 418670, 37645, 60025, 78635, 332812]	Richard Berry
253	nm0006954	[72325]	Pierre Schoendoerffer
254	nm0006960	[1722, 376290]	John Madden
255	nm0006969	[458897]	Elizabeth Banks
256	nm0007045	[14636, 23705]	Scott Wiper
257	nm0007052	[189019]	Nick Quinn
258	nm0007082	[11968, 450932, 57353, 256474, 308529]	John Stockwell
259	nm0007134	[277432]	Farah Khan
260	nm0007139	[10703, 16321, 928123, 506763, 435800, 32151, 48492, 49291, 81870, 217923]	Hark Tsui
261	nm0007142	[55547]	William Wesley
262	nm0007144	[4435, 115432]	Santosh Sivan
263	nm0007439	[84226]	Douglas Aarniokoski
264	nm0007622	[446039]	Sou Abadi
265	nm0007708	[15644]	Paul Abascal
266	nm0007925	[25006]	Abdul Malik Abbott
267	nm0008080	[622654, 74518]	Olivier Abbou
268	nm0008243	[635897]	Rustem Abdrashev
269	nm0008332	[436363, 58859]	Aktan Arym Kubat
270	nm0008352	[17101, 17165, 507569, 432131, 73245]	Noriyuki Abe
271	nm0008360	[60964]	Masashi Abe
272	nm0008395	[41883, 103510]	Yûichi Abe
273	nm0008442	[413778, 51871, 89287]	Dominique Abel
274	nm0009190	[956, 13475, 54138, 140607, 181812]	J.J. Abrams
275	nm0009302	[117359]	Hadi Abrar
276	nm0009414	[86544]	Moussa Sene Absa
277	nm0009463	[67]	Hany Abu-Assad
278	nm0009765	[86810, 108887]	Laurent Achard
279	nm0009942	[12244]	Shane Acker
280	nm0010653	[432799]	Kasia Adamik
281	nm0011042	[44862]	Ash Adams
282	nm0011104	[79102]	Julian Adams
283	nm0011173	[27259]	Marcus Adams
284	nm0011752	[374475]	Maren Ade
285	nm0011950	[9995]	Robert Adetuyi
286	nm0012529	[22366]	Newton I. Aduaka
287	nm0012541	[550485, 358996, 206851]	Nikkhil Advani
288	nm0012580	[30800]	Simon Aeby
289	nm0013041	[77519]	Gabriel Aghion
290	nm0013650	[91011]	Tikoy Aguiluz
291	nm0013828	[458266, 50139]	Lawrence Ah-Mon
292	nm0014694	[46993]	Karim Aïnouz
293	nm0014960	[9792, 10226, 511987, 471498]	Alexandre Aja
294	nm0015085	[372751, 347200, 347187]	Kazuki Akane
295	nm0015091	[11818, 81557, 255161]	Serdar Akar
296	nm0015254	[32193]	Akhenaton
297	nm0015359	[505706, 423646, 31175, 250230]	Fatih Akin
298	nm0015382	[475214]	Adewale Akinnuoye-Agbaje
299	nm0015533	[83071, 158455]	Barmak Akram
300	nm0016900	[50338, 50339]	Karin Albou
301	nm0017979	[291878]	Salome Aleksi-Meskhishvili
302	nm0018032	[78352]	Cosimo Alemà
303	nm0018132	[18607, 21861, 890203, 547539, 382595, 256913]	Lisa Azuelos
304	nm0018133	[15357, 503267]	Patrick Alessandrin
305	nm0018735	[19419]	Scott Alexander
306	nm0019242	[14074, 24253, 33613, 228968]	Daniel Alfredson
307	nm0019247	[13310, 49517]	Tomas Alfredson
308	nm0019414	[358206]	Christophe Ali
309	nm0019471	[246533]	Osman Ali
310	nm0019665	[20893]	Dean Alioto
311	nm0019723	[579146]	Adolfo Alix Jr.
312	nm0020728	[17047]	Kevin Allen
313	nm0021577	[17684, 442654, 47299, 136410, 108544]	Merzak Allouache
314	nm0022790	[131180]	Michael Althen
315	nm0023355	[19898, 228736]	Christian Alvart
316	nm0023517	[611751, 186161]	Ruben Alves
317	nm0023832	[756651, 451618, 41273, 125848, 266034]	Mathieu Amalric
318	nm0023859	[611641, 478149, 439350, 75930, 227366, 259390]	Keita Amemiya
319	nm0024580	[428988]	Claudio Amendola
320	nm0024617	[31111]	Marco Amenta
321	nm0024622	[1913, 1933]	Alejandro Amenábar
322	nm0024887	[38848, 93195]	Santiago Amigorena
323	nm0024925	[192149]	Hossein Amini
324	nm0025241	[661595, 651866]	Vicente Amorim
325	nm0025534	[892508, 749087, 474313, 51991, 54064, 151826, 286595, 342281]	Jean-Pierre Améris
326	nm0025823	[18002]	Dominic Anciano
327	nm0026000	[82140]	Ed Anders
328	nm0026174	[623511, 416194]	John Andreas Andersen
329	nm0026442	[399248]	Brad Anderson
330	nm0027271	[395, 1576, 10483, 458576, 35791, 52451, 71679, 76649, 173897]	Paul W.S. Anderson
331	nm0027815	[5817, 348672, 110390]	Roy Andersson
332	nm0027948	[393857, 64840]	Roberto Andò
333	nm0028196	[206, 143565]	Mario Andreacchio
334	nm0028764	[62177]	Mark Andrews
335	nm0029242	[575458, 428365, 377154, 38018, 38021, 38282, 38304, 41248, 270899]	André Téchiné
336	nm0029458	[395769, 70408]	Hélène Angel
