	id_tmdb	liste_acteurs
76	752	[['Hugo Weaving'], ['Hugo Weaving'], ['Natalie Portman'], ['Rupert Graves'], ['Stephen Rea'], ['Stephen Fry'], ['John Hurt'], ['Tim Pigott-Smith'], ['Roger Allam'], ['Ben Miles'], ['Sinéad Cusack']]
77	787	[['Brad Pitt'], ['Angelina Jolie'], ['Adam Brody'], ['Vince Vaughn'], ['Kerry Washington'], ['Keith David'], ['Chris Weitz'], ['Rachael Huntley'], ['Michelle Monaghan'], ['Stephanie March']]
78	834	[['Kate Beckinsale'], ['Scott Speedman'], ['Bill Nighy'], ['Tony Curran'], ['Derek Jacobi'], ['Steven Mackintosh'], ['Shane Brolly'], ['Brian Steele'], ['Zita Görög'], ['Scott McElroy']]
79	843	"[['Tony Leung Chiu-wai'], ['Maggie Cheung'], ['Siu Ping-Lam'], [""Tung Cho 'Joe' Cheung""], ['Rebecca Pan'], ['Kelly Lai Chen'], ['Man-Lei Chan'], ['Kam-Wah Koo'], ['Szu-Ying Chien'], ['Paulyn Sun']]"
80	844	[['Tony Leung Chiu-wai'], ['Ziyi Zhang'], ['Faye Wong'], ['Faye Wong'], ['Gong Li'], ['Takuya Kimura'], ['Takuya Kimura'], ['Carina Lau'], ['Carina Lau'], ['Carina Lau'], ['Chang Chen'], ['Jie Dong'], ['Maggie Cheung'], ['Thongchai McIntyre']]
81	853	[['Jude Law'], ['Ed Harris'], ['Joseph Fiennes'], ['Rachel Weisz'], ['Bob Hoskins'], ['Ron Perlman'], ['Eva Mattes'], ['Gabriel Thomson'], ['Matthias Habich'], ['Sophie Rois']]
82	855	[['Josh Hartnett'], ['Ewan McGregor'], ['Tom Sizemore'], ['Eric Bana'], ['William Fichtner'], ['Ewen Bremner'], ['Sam Shepard'], ['Gabriel Casseus'], ['Kim Coates'], ['Hugh Dancy']]
83	869	[['Mark Wahlberg'], ['Helena Bonham Carter'], ['Tim Roth'], ['Michael Clarke Duncan'], ['Paul Giamatti'], ['Estella Warren'], ['Cary-Hiroyuki Tagawa'], ['David Warner'], ['Kris Kristofferson'], ['Erick Avari']]
84	924	[['Sarah Polley'], ['Ving Rhames'], ['Mekhi Phifer'], ['Jake Weber'], ['Ty Burrell'], ['Michael Kelly'], ['Kevin Zegers'], ['Michael Barry'], ['Lindy Booth'], ['Jayne Eastwood']]
85	955	[['Tom Cruise'], ['Dougray Scott'], ['Thandiwe Newton'], ['Ving Rhames'], ['Richard Roxburgh'], ['John Polson'], ['Brendan Gleeson'], ['Rade Serbedzija'], ['William Mapother'], ['Dominic Purcell']]
86	956	[['Tom Cruise'], ['Michelle Monaghan'], ['Ving Rhames'], ['Philip Seymour Hoffman'], ['Billy Crudup'], ['Jonathan Rhys Meyers'], ['Keri Russell'], ['Maggie Q'], ['Simon Pegg'], ['Eddie Marsan']]
87	979	[['Monica Bellucci'], ['Vincent Cassel'], ['Albert Dupontel'], ['Philippe Nahon'], ['Jo Prestia'], ['Stéphane Drouot'], ['Jean-Louis Costes'], ['Mick Gondouin'], ['Mourad Khima'], ['Layde Hellal']]
88	1018	[['Naomi Watts'], ['Naomi Watts'], ['Laura Harring'], ['Laura Harring'], ['Justin Theroux'], ['Jeanne Bates'], ['Dan Birnbaum'], ['Randall Wulff'], ['Robert Forster'], ['Brent Briscoe'], ['Maya Bond'], ['Patrick Fischler']]
89	1115	[['Julia Hummer'], ['Sabine Timoteo'], ['Marianne Basler'], ['Aurélien Recoing'], ['Benno Fürmann'], ['Anna Schudt'], ['Claudia Geisler-Bading'], ['Philipp Hauß'], ['Victoria Trauttmansdorff'], ['Peter Kurth']]
90	1116	"[['Cillian Murphy'], ['Pádraic Delaney'], ['Liam Cunningham'], ['Orla Fitzgerald'], [""Mary O'Riordan""], ['Mary Murphy'], ['Laurence Barry'], ['Damien Kearney'], ['Frank Bourke'], ['Myles Horgan']]"
91	1123	[['Derek Luke'], ['Tim Robbins'], ['Bonnie Mbuli'], ['Mncedisi Shabangu'], ['Tumisho Masha'], ['Sithembiso Khumalo'], ['Terry Pheto'], ['Michele Burgers'], ['Mpho Lovinga'], ['Mxo']]
92	1164	[['Brad Pitt'], ['Cate Blanchett'], ['Gael García Bernal'], ['Mohamed Akhzam'], ['Peter Wight'], ['Harriet Walter'], ['Trevor Martin'], ['Matyelok Gibbs'], ['Georges Bousquet'], ['Claudine Acs']]
93	1165	[['Helen Mirren'], ['Michael Sheen'], ['James Cromwell'], ['Alex Jennings'], ['Roger Allam'], ['Sylvia Syms'], ['Tim McMullan'], ['Robin Soans'], ['Lola Peploe'], ['Douglas Reith']]
94	1247	[['Matt Damon'], ['Angelina Jolie'], ['Robert De Niro'], ['Alec Baldwin'], ['Tammy Blanchard'], ['Billy Crudup'], ['Keir Dullea'], ['Michael Gambon'], ['Martina Gedeck'], ['William Hurt']]
95	1248	[['Gaspard Ulliel'], ['Rhys Ifans'], ['Gong Li'], ['Aaran Thomas'], ['Helena-Lia Tachovská'], ['Richard Leaf'], ['Michelle Wade'], ['Martin Hub'], ['Ingeborga Dapkunaite'], ['Joerg Stadler']]
96	1250	[['Nicolas Cage'], ['Nicolas Cage'], ['Eva Mendes'], ['Sam Elliott'], ['Matt Long'], ['Raquel Alessi'], ['Brett Cullen'], ['Peter Fonda'], ['Donal Logue'], ['Tony Ghosthawk'], ['Hugh Sexton']]
97	1251	[['Ken Watanabe'], ['Kazunari Ninomiya'], ['Tsuyoshi Ihara'], ['Ryô Kase'], ['Shidô Nakamura'], ['Hiroshi Watanabe'], ['Takumi Bando'], ['Yuki Matsuzaki'], ['Takashi Yamaguchi'], ['Eijiro Ozaki']]
98	1254	[['Mélanie Laurent'], ['Kad Merad'], ['Isabelle Renauld'], ['Julien Boisselier'], ['Aïssa Maïga'], ['Simon Buret'], ['Christophe Rossignon'], ['Eric Herson-Macarel'], ['Thierry Lavat'], ['Emmanuel Courcol']]
99	1266	[['Keanu Reeves'], ['Forest Whitaker'], ['Hugh Laurie'], ['Chris Evans'], ['Cedric The Entertainer'], ['Jay Mohr'], ['Terry Crews'], ['Naomie Harris'], ['Common'], ['The Game']]
100	1268	[['Rowan Atkinson'], ['Willem Dafoe'], ['Steve Pemberton'], ['Lily Atkinson'], ['Preston Nyman'], ['Sharlit Deyzac'], ['Francois Touch'], ['Emma de Caunes'], ['Arsène Mosca'], ['Stéphane Debac']]
101	1271	[['Gerard Butler'], ['Lena Headey'], ['David Wenham'], ['Dominic West'], ['Vincent Regan'], ['Michael Fassbender'], ['Tom Wisdom'], ['Andrew Pleavin'], ['Andrew Tiernan'], ['Rodrigo Santoro']]
102	1278	[['Michael Pitt'], ['Louis Garrel'], ['Eva Green'], ['Anna Chancellor'], ['Robin Renucci'], ['Florian Cadiou'], ['Pierre Hancisse'], ['Valentin Merlet']]
103	1364	[['Paz Vega'], ['Tristán Ulloa'], ['Najwa Nimri'], ['Elena Anaya'], ['Daniel Freire'], ['Daniel Freire'], ['Silvia Llanos'], ['Diana Suárez'], ['Javier Cámara'], ['Juan Fernández'], ['Charo Zapardiel']]
104	1372	[['Leonardo DiCaprio'], ['Djimon Hounsou'], ['Jennifer Connelly'], ['Kagiso Kuypers'], ['Arnold Vosloo'], ['Antony Coleman'], ['Benu Mabhena'], ['Anointing Lukola'], ['David Harewood'], ['Basil Wallace']]
105	1379	[['Janne Hyytiäinen'], ['Maria Järvenhelmi'], ['Maria Heiskanen'], ['Ilkka Koivula'], ['Sergei Doudko'], ['Andrei Gennadiev'], ['Arturas Pozdniakovas'], ['Matti Onnismaa'], ['Sulevi Peltola'], ['Antti Reini']]
106	1407	[['Marion Cotillard'], ['Sylvie Testud'], ['Pascal Greggory'], ['Emmanuelle Seigner'], ['Jean-Paul Rouve'], ['Gérard Depardieu'], ['Clotilde Courau'], ['Jean-Pierre Martins'], ['Catherine Allégret'], ['Marc Barbé']]
